season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2020,1,Ho,Kc,Kc,Kc,Kc,Kc,Kc
2020,1,Ch,Dt,Ch,Ch,Ch,Ch,Ch
2020,1,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2020,1,Gb,Mn,Gb,Mn,Gb,Gb,Gb
2020,1,In,Jk,In,In,Jk,In,Jk
2020,1,Lv,Ca,Ca,Ca,Ca,Ca,Lv
2020,1,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2020,1,Jt,Bu,Bu,Bu,Bu,Bu,Bu
2020,1,Ph,Wa,Ph,Ph,Ph,Ph,Wa
2020,1,Se,At,Se,Se,At,Se,Se
2020,1,Sd,Cn,Sd,Cn,Cn,Cn,Sd
2020,1,Az,Sf,Sf,Sf,Sf,Sf,Az
2020,1,Tb,No,No,No,No,No,No
2020,1,Da,La,La,La,La,Da,La
2020,1,Pt,Gi,Pt,Pt,Pt,Pt,Pt
2020,1,Tn,Dn,Dn,Tn,Dn,Dn,Tn
2020,2,Cn,Cl,Cn,Cn,Cl,Cl,Cl
2020,2,At,Da,Da,Da,At,Da,Da
2020,2,Bu,Mi,Bu,Bu,Mi,Bu,Bu
2020,2,Ca,Tb,Tb,Tb,Tb,Ca,Tb
2020,2,Dn,Pt,Pt,Pt,Dn,Pt,Pt
2020,2,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2020,2,Jk,Tn,Tn,Tn,Jk,Tn,Tn
2020,2,La,Ph,La,La,La,La,La
2020,2,Mn,In,In,Mn,Mn,Mn,In
2020,2,Gi,Ch,Ch,Ch,Ch,Ch,Ch
2020,2,Sf,Jt,Sf,Sf,Sf,Sf,Sf
2020,2,Wa,Az,Az,Az,Wa,Az,Az
2020,2,Ba,Ho,Ba,Ba,Ho,Ba,Ba
2020,2,Kc,Sd,Sd,Kc,Kc,Kc,Kc
2020,2,Ne,Se,Se,Se,Se,Se,Se
2020,2,No,Lv,No,No,No,No,Lv
2020,3,Mi,Jk,Jk,Jk,Mi,Jk,Mi
2020,3,Ch,At,At,At,At,At,Ch
2020,3,Cn,Ph,Cn,Ph,Ph,Ph,.
2020,3,Ho,Pt,Pt,Pt,Pt,Pt,Pt
2020,3,Lv,Ne,Ne,Lv,Ne,Ne,Ne
2020,3,La,Bu,Bu,Bu,La,La,Bu
2020,3,Sf,Gi,Sf,Sf,Sf,Sf,Sf
2020,3,Tn,Mn,Tn,Mn,Mn,Tn,Tn
2020,3,Wa,Cl,Cl,Cl,Wa,Cl,Cl
2020,3,Ca,Sd,Sd,Sd,Ca,Sd,Ca
2020,3,Jt,In,In,In,In,In,In
2020,3,Da,Se,Se,Se,Se,Se,Se
2020,3,Dt,Az,Az,Az,Az,Az,Dt
2020,3,Tb,Dn,Tb,Tb,Dn,Dn,Tb
2020,3,Gb,No,Gb,No,Gb,No,Gb
2020,3,Kc,Ba,Ba,Kc,Kc,Ba,Kc
2020,4,Dn,Jt,Dn,Dn,Dn,Jt,Dn
2020,4,Az,Ca,Az,Az,Az,Az,Ca
2020,4,Ba,Wa,Ba,Ba,Ba,Ba,Ba
2020,4,Cl,Da,Cl,Da,Da,Da,Cl
2020,4,In,Ch,Ch,Ch,Ch,In,In
2020,4,Jk,Cn,Cn,Cn,Jk,Cn,Cn
2020,4,Sd,Tb,Tb,Tb,Tb,Tb,Tb
2020,4,Mn,Ho,Ho,Ho,Mn,Ho,Mn
2020,4,No,Dt,No,No,No,No,No
2020,4,Pt,Tn,Tn,Tn,Tn,Tn,Pt
2020,4,Se,Mi,Se,Se,Se,Se,Se
2020,4,Gi,La,La,La,La,La,La
2020,4,Bu,Lv,Bu,Bu,Lv,Bu,Bu
2020,4,Ne,Kc,Kc,Kc,Kc,Kc,Kc
2020,4,Ph,Sf,Sf,Sf,Sf,Sf,Ph
2020,4,At,Gb,Gb,Gb,Gb,Gb,Gb
2020,5,Tb,Ch,Ch,Tb,Tb,Tb,Ch
2020,5,Az,Jt,Az,Az,Az,Az,Az
2020,5,Bu,Tn,Bu,Tn,Tn,Bu,Tn
2020,5,Ca,At,At,At,At,Ca,Ca
2020,5,Cn,Ba,Ba,Ba,Ba,Ba,Ba
2020,5,Dn,Ne,Ne,Ne,Ne,Ne,Dn
2020,5,Jk,Ho,Jk,Ho,Ho,Ho,Ho
2020,5,Lv,Kc,Kc,Kc,Kc,Kc,Lv
2020,5,La,Wa,La,La,Wa,La,La
2020,5,Ph,Pt,Pt,Pt,Ph,Pt,Pt
2020,5,Mi,Sf,Sf,Sf,Sf,Sf,Mi
2020,5,In,Cl,Cl,Cl,Cl,Cl,Cl
2020,5,Gi,Da,Da,Da,Da,Da,Da
2020,5,Mn,Se,Se,Se,Mn,Se,Se
2020,5,Sd,No,No,No,No,No,No
2020,6,Kc,Bu,Bu,Kc,Kc,Kc,Kc
2020,6,At,Mn,Mn,Mn,Mn,Mn,At
2020,6,Ba,Ph,Ba,Ba,Ph,Ba,Ba
2020,6,Ch,Ca,Ca,Ca,Ca,Ca,Ch
2020,6,Cn,In,In,In,Cn,In,In
2020,6,Cl,Pt,Pt,Pt,Cl,Pt,Pt
2020,6,Dt,Jk,Jk,Jk,Jk,Jk,Dt
2020,6,Ho,Tn,Tn,Tn,Ho,Tn,Tn
2020,6,Wa,Gi,Wa,Wa,Gi,Wa,Gi
2020,6,Mi,Dn,Mi,Mi,Dn,Mi,Dn
2020,6,Jt,Sd,Sd,Sd,Sd,Sd,Sd
2020,6,Gb,Tb,Gb,Tb,Gb,Gb,Tb
2020,6,La,Sf,La,Sf,La,La,Sf
2020,6,Az,Da,Az,Da,Da,Az,Az
2020,7,Gi,Ph,Ph,Ph,Ph,Ph,Ph
2020,7,Bu,Jt,Bu,Bu,Bu,Bu,Bu
2020,7,Ca,No,No,No,No,No,No
2020,7,Cl,Cn,Cl,Cl,Cl,Cl,Cl
2020,7,Da,Wa,Wa,Wa,Da,Da,Wa
2020,7,Dt,At,Dt,At,At,At,Dt
2020,7,Gb,Ho,Gb,Gb,Gb,Gb,Gb
2020,7,Sd,Mi,Mi,Mi,Mi,Mi,Mi
2020,7,Pt,Ba,Ba,Ba,Ba,Ba,Pt
2020,7,Se,Az,Az,Se,Se,Se,Az
2020,7,Kc,Dn,Kc,Kc,Kc,Kc,Kc
2020,7,Sf,Ne,Sf,Ne,Sf,Sf,Sf
2020,7,Tb,Lv,Tb,Lv,Tb,Lv,Tb
2020,7,Ch,La,La,La,La,La,La
2020,8,At,Ca,Ca,Ca,Ca,Ca,At
2020,8,In,Dt,Dt,Dt,Dt,In,In
2020,8,Lv,Cl,Lv,Lv,Lv,Cl,Lv
2020,8,La,Mi,La,La,La,La,Mi
2020,8,Mn,Gb,Gb,Gb,Gb,Gb,Mn
2020,8,Ne,Bu,Bu,Bu,Ne,Bu,Bu
2020,8,Jt,Kc,Kc,Kc,Kc,Kc,Kc
2020,8,Tn,Cn,Cn,Tn,Cn,Tn,Cn
2020,8,Jk,Sd,Sd,Sd,Sd,Sd,Sd
2020,8,No,Ch,Ch,No,No,No,No
2020,8,Sf,Se,Se,Se,Sf,Se,Se
2020,8,Da,Ph,Ph,Ph,Da,Ph,Ph
2020,8,Tb,Gi,Tb,Tb,Tb,Tb,Tb
